model,baseline,scoring,delta,ci_low,ci_high,p_value,n_scenarios,n_resamples
gemini-3.1-flash-lite,C1,strict,0.6022727272727273,0.5037878787878788,0.696969696969697,0.0,88,10000
gemini-3.1-flash-lite,C2,strict,0.03409090909090909,-0.07386363636363637,0.14204545454545456,0.5338,88,10000
gemini-3.1-flash-lite,C3,strict,0.0037878787878787876,-0.056818181818181816,0.06439393939393939,0.9168,88,10000
gemini-3.1-flash-lite,C4,strict,0.16477272727272727,0.08901515151515152,0.24621212121212122,0.0,88,10000
gemini-3.1-flash-lite,C1,refined,0.6022727272727273,0.5037878787878788,0.696969696969697,0.0,88,10000
gemini-3.1-flash-lite,C2,refined,0.03409090909090909,-0.07386363636363637,0.14204545454545456,0.5338,88,10000
gemini-3.1-flash-lite,C3,refined,0.0037878787878787876,-0.056818181818181816,0.06439393939393939,0.9168,88,10000
gemini-3.1-flash-lite,C4,refined,0.16477272727272727,0.08901515151515152,0.24621212121212122,0.0,88,10000
