model,config,n_cells,n_pass_strict,n_pass_refined,n_rescued,rate_strict,rate_refined
gemini-3.1-flash-lite,C1,233,0,0,0,0.0,0.0
gemini-3.1-flash-lite,C2,233,140,140,0,0.6008583690987125,0.6008583690987125
gemini-3.1-flash-lite,C3,233,153,153,0,0.6566523605150214,0.6566523605150214
gemini-3.1-flash-lite,C4,233,113,113,0,0.48497854077253216,0.48497854077253216
gemini-3.1-flash-lite,C5,233,154,154,0,0.6609442060085837,0.6609442060085837
ALL,ALL,1165,560,560,0,0.48068669527896996,0.48068669527896996
